x      y
120000 0.91869
130000 None
140000 None
150000 0.9159
160000 None
170000 None
180000 0.90679
190000 None
200000 None
210000 0.89814
220000 None
230000 None
240000 0.880965
250000 None
260000 None
270000 0.88661
280000 None
290000 None
300000 0.89645
310000 None
320000 None
330000 0.89333
340000 None
350000 None
360000 0.889815






