x      y
120000 0.925275
130000 NA
140000 NA
150000 0.917665
160000 NA
170000 NA
180000 0.90937
190000 NA
200000 NA
210000 0.89389
220000 NA
2300000 NA
240000 0.88019
250000 NA
260000 NA
270000 0.8825
280000 NA
290000 NA
300000 0.89329
310000 NA
320000 NA
330000 0.893405
3400000 NA
350000 NA
360000 0.8939
